Title,DataProvider,SourceUrl,Citation,UpstreamLicense,LicenseEvidenceUrl
omniager_coeff_smk_idx,Teschendorff AE et al.,https://doi.org/10.1001/jamaoncol.2015.1053,"Teschendorff AE, Yang Z, Wong A, et al. Correlation of Smoking-Associated DNA Methylation Changes in Buccal Cells With DNA Methylation Changes in Epithelial Cancer. JAMA Oncology. 2015;1(4):476每485. https://doi.org/10.1001/jamaoncol.2015.1053",Author-granted permission for redistribution; original article published by JAMA Oncology under publisher terms,https://jamanetwork.com/journals/jamaoncology/fullarticle/2293216
omniager_cortical_clock_coef,Shireby GL et al.,https://github.com/gemmashireby/CorticalClock/tree/master/PredCorticalAge,"Shireby GL, Davies JP, Francis PT, et al. Recalibrating the epigenetic clock: implications for assessing biological age in the human cortex. Brain. 2020;143(12):3763每3775. https://doi.org/10.1093/brain/awaa334",CC BY 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC7805794/
omniager_crp_cpg,Wielscher M et al.,https://doi.org/10.6084/m9.figshare.19188674.v1,"Wielscher M, Mandaviya PR, Kuehnel B, et al. DNA methylation signature of chronic low-grade inflammation and its role in cardio-respiratory diseases. Nature Communications. 2022;13:2408. https://doi.org/10.1038/s41467-022-29792-6",CC BY 4.0,https://figshare.com/articles/dataset/association_results_from_trans_ethnic_meta_analysis/19188674
omniager_cts_clocks_coef,Tong H et al.,https://github.com/HGT-UwU/CTSclocks,"Tong H, Guo X, Jacques M, et al. Cell-type specific epigenetic clocks to quantify biological age at cell-type resolution. Aging. 2024;16(22):13452每13504. https://doi.org/10.18632/aging.206184",GPL-3.0 (CTSclocks software/model files); article published under CC BY 4.0,https://github.com/HGT-UwU/CTSclocks/blob/main/LICENSE
omniager_cvfit_c46,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_cvfit_pasta,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_cvfit_reg,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_dnam_ctf_model,Du Zhaozhen,,,Project-authored model coefficients,
omniager_dnamfitage_coef,McGreevy KM et al.,https://github.com/kristenmcgreevy/DNAmFitAge,"McGreevy KM, Radak Z, Torma F, et al. DNAmFitAge: biological age indicator incorporating physical fitness. Aging. 2023;15(10):3904-3938. https://doi.org/10.18632/aging.204538",CC BY 3.0,https://www.aging-us.com/article/204538
omniager_dnamtl_coef,Lu AT et al.,https://doi.org/10.18632/aging.102173,"Lu AT, Seeboth A, Tsai PC, et al. DNA methylation-based estimator of telomere length. Aging. 2019;11(16):5895每5923. https://doi.org/10.18632/aging.102173",CC BY 3.0,https://www.aging-us.com/article/102173/text
omniager_dunedinpace_model,Belsky DW et al.,https://github.com/danbelsky/DunedinPACE,"Belsky DW, Caspi A, Corcoran DL, et al. DunedinPACE, a DNA methylation biomarker of the pace of aging. eLife. 2022;11:e73420. https://doi.org/10.7554/eLife.73420",GPL-3.0 plus an additional repository research-only/non-commercial notice,https://github.com/danbelsky/DunedinPACE/blob/main/LICENSE
omniager_eabec_coef,Lee Y et al.,https://doi.org/10.1186/s12864-020-07168-8,"Lee Y, Haftorn KL, Denault WRP, et al. Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array. BMC Genomics. 2020;21:747. https://doi.org/10.1186/s12864-020-07168-8",CC BY 4.0,https://doi.org/10.1186/s12864-020-07168-8
omniager_ensembleage_coef,Haghani A. et al.,https://doi.org/10.1007/s11357-025-01808-1,"Haghani A, Lu AT, Yan Q, et al. EnsembleAge: enhancing epigenetic age assessment with a multi-clock framework. GeroScience. 2026;48:2873每2886. https://doi.org/10.1007/s11357-025-01808-1",CC BY 4.0,https://doi.org/10.1007/s11357-025-01808-1
omniager_epic_ga_coef,Haftorn KL et al.,https://doi.org/10.1186/s13148-021-01055-z,"Haftorn KL, Lee Y, Denault WRP, et al. An EPIC predictor of gestational age and its application to newborns conceived by assisted reproductive technologies. Clinical Epigenetics. 2021;13:82. https://doi.org/10.1186/s13148-021-01055-z",CC BY 4.0,https://doi.org/10.1186/s13148-021-01055-z
omniager_epicmit_model,Duran-Ferrer M et al.,https://github.com/aet21/EpiMitClocks,"Duran-Ferrer M, Clot G, Nadeu F, et al. The proliferative history shapes the DNA methylome of B-cell tumors and predicts clinical outcome. Nature Cancer. 2020;1(11):1066每1081. https://doi.org/10.1038/s43018-020-00131-2",GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_episcores_coef,Gadd DA et al.,https://zenodo.org/records/7154750,"Gadd DA, Hillary RF, McCartney DL, et al. Epigenetic scores for the circulating proteome as tools for disease prediction. eLife. 2022;11:e71802. https://doi.org/10.7554/eLife.71802",CC BY 4.0,https://zenodo.org/records/7154750
omniager_epitoc1_model,Yang Z et al.,https://github.com/aet21/EpiMitClocks,"Yang Z, Wong A, Kuh D, et al. Correlation of an epigenetic mitotic clock with cancer risk. Genome Biology. 2016;17:205. https://doi.org/10.1186/s13059-016-1064-3",GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_epitoc2_model,Teschendorff AE.,https://github.com/aet21/EpiMitClocks,Teschendorff AE. A comparison of epigenetic mitotic-like clocks for cancer risk prediction. Genome Medicine. 2020;12:56. https://doi.org/10.1186/s13073-020-00752-3,GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_epitoc3_model,Teschendorff AE.,https://github.com/aet21/EpiMitClocks,Teschendorff AE. GitHub repository. https://github.com/aet21/EpiMitClocks,GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_garagnani_coef,"Garagnani, P et al.",https://doi.org/10.1111/acel.12005,"Garagnani, P et al. DOI: 10.1111/acel.12005. https://doi.org/10.1111/acel.12005",Project-authored implementation,https://doi.org/10.1111/acel.12005
omniager_grimage1_model,Lu AT et al.,https://github.com/bio-learn/biolearn/tree/master/biolearn/data,"Lu AT, Quach A, Wilson JG, et al. DNA methylation GrimAge strongly predicts lifespan and healthspan. Aging. 2019;11(2):303每327. https://doi.org/10.18632/aging.101684",BSD-3-Clause,https://github.com/bio-learn/biolearn/blob/master/LICENSE
omniager_grimage2_model,Lu AT et al.,https://github.com/bio-learn/biolearn/tree/master/biolearn/data,"Lu AT, Binder AM, Zhang J, et al. DNA methylation GrimAge version 2. Aging. 2022;14(23):9484每9549. https://doi.org/10.18632/aging.204434",BSD-3-Clause,https://github.com/bio-learn/biolearn/blob/master/LICENSE
omniager_hannum,Hannum G et al.,https://doi.org/10.1016/j.molcel.2012.10.016,"Hannum G, Guinney J, Zhao L, et al. Genome-wide methylation profiles reveal quantitative views of human aging rates. Molecular Cell. 2013;49(2):359每367. https://doi.org/10.1016/j.molcel.2012.10.016",Elsevier publisher copyright,https://doi.org/10.1016/j.molcel.2012.10.016
omniager_hepato_xu_coef,Xu Rh et al.,https://doi.org/10.1038/nmat4997,"Xu RH, Wei W, Krawczyk M, et al. Circulating tumour DNA methylation markers for diagnosis and prognosis of hepatocellular carcinoma. Nature Materials. 2017;16(11):1155每1161. https://doi.org/10.1038/nmat4997",Springer Nature copyright,https://doi.org/10.1038/nmat4997
omniager_horvath2013_coef,Horvath S.,https://doi.org/10.1186/gb-2013-14-10-r115,Horvath S. DNA methylation age of human tissues and cell types. Genome Biology. 2013;14(10):R115. https://doi.org/10.1186/gb-2013-14-10-r115,CC BY 2.0,https://doi.org/10.1186/gb-2013-14-10-r115
omniager_horvath2018_coef,Horvath S et al.,https://doi.org/10.18632/aging.101508,"Horvath S, Oshima J, Martin GM, et al. Epigenetic clock for skin and blood cells applied to Hutchinson Gilford Progeria Syndrome and ex vivo studies. Aging. 2018;10(7):1758每1775. https://doi.org/10.18632/aging.101508",CC BY 3.0,https://www.aging-us.com/article/101508/text
omniager_hypoclock_cpg,Teschendorff AE.,https://github.com/aet21/EpiMitClocks,Teschendorff AE. A comparison of epigenetic mitotic-like clocks for cancer risk prediction. Genome Medicine. 2020;12(1):56. https://doi.org/10.1186/s13073-020-00752-3,GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_ic_clock_coef,Fuentealba M et al.,https://doi.org/10.1038/s43587-025-00883-5,"Fuentealba M, Rouch L, Guyonnet S, et al. A blood-based epigenetic clock for intrinsic capacity predicts mortality and is associated with clinical, immunological and lifestyle factors. Nature Aging. 2025;5(7):1207每1216. https://doi.org/10.1038/s43587-025-00883-5",CC BY 4.0,https://doi.org/10.1038/s43587-025-00883-5
omniager_il6_coef,Stevenson AJ et al.,https://doi.org/10.1093/gerona/glab046,"Stevenson AJ, Gadd DA, Hillary RF, et al. Creating and validating a DNA methylation-based proxy for interleukin-6. The Journals of Gerontology: Series A. 2021;76(12):2284每2292. https://doi.org/10.1093/gerona/glab046",CC BY 4.0,https://doi.org/10.1093/gerona/glab046
omniager_intrin_clock_coef,Tomusiak A et al.,https://doi.org/10.5281/zenodo.10426597,"Tomusiak A, Floro A, Tiwari R, et al. Development of an epigenetic clock resistant to changes in immune cell composition. Communications Biology. 2024;7(1):934. https://doi.org/10.1038/s42003-024-06609-4",CC BY-NC-ND 4.0 for the article,https://doi.org/10.1038/s42003-024-06609-4
omniager_knight_ga_coef,Knight AK et al.,https://github.com/akknight/PredictGestationalAge,"Knight AK, Craig JM, Theda C, et al. An epigenetic clock for gestational age at birth based on blood methylation data. Genome Biology. 2016;17(1):206. https://doi.org/10.1186/s13059-016-1068-z",MIT,https://github.com/akknight/PredictGestationalAge/blob/master/LICENSE
omniager_lee_ga_coef,Lee Y et al.,https://doi.org/10.18632/aging.102049,"Lee Y, Choufani S, Weksberg R, et al. Placental epigenetic clocks: estimating gestational age using placental DNA methylation levels. Aging. 2019;11(12):4238每4253. https://doi.org/10.18632/aging.102049",CC BY 3.0,https://www.aging-us.com/article/102049/text
omniager_lin_coef,Lin Q et al.,https://doi.org/10.18632/aging.100908,"Lin Q, Weidner CI, Costa IG, et al. DNA methylation levels at individual age-associated CpG sites can be indicative for life expectancy. Aging. 2016;8(2):394每401. https://doi.org/10.18632/aging.100908",CC BY 3.0,https://www.aging-us.com/article/100908/text
omniager_mayne_ga_coef,Mayne BT et al.,https://doi.org/10.2217/epi-2016-0103,"Mayne BT, Leemaqz SY, Smith AK, et al. Accelerated placental aging in early onset preeclampsia pregnancies identified by DNA methylation. Epigenomics. 2017;9(3):279每289. https://doi.org/10.2217/epi-2016-0103",CC BY-NC-ND 4.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC6040051/
omniager_mccartney_trait_coef,McCartney DL et al.,https://doi.org/10.1186/s13059-018-1514-1,"McCartney DL, Hillary RF, Stevenson AJ, et al. Epigenetic prediction of complex traits and death. Genome Biology. 2018;19(1):136. https://doi.org/10.1186/s13059-018-1514-1",CC BY 4.0,https://doi.org/10.1186/s13059-018-1514-1
omniager_pan_mammalian_blood_coef,Lu AT et al.,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,"Lu AT, Fei Z, Haghani A, et al. Universal DNA methylation age across mammalian tissues. Nature Aging. 2023;3:1144-1166. https://doi.org/10.1038/s43587-023-00462-6",MIT,https://github.com/shorvath/MammalianMethylationConsortium/blob/main/LICENSE
omniager_pan_mammalian_clock_coef,Lu AT et al.,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,"Lu AT, Fei Z, Haghani A, et al. Universal DNA methylation age across mammalian tissues. Nature Aging. 2023;3:1144-1166. https://doi.org/10.1038/s43587-023-00462-6",MIT,https://github.com/shorvath/MammalianMethylationConsortium/blob/main/LICENSE
omniager_pan_mammalian_skin_coef,Lu AT et al.,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,"Lu AT, Fei Z, Haghani A, et al. Universal DNA methylation age across mammalian tissues. Nature Aging. 2023;3:1144-1166. https://doi.org/10.1038/s43587-023-00462-6",MIT,https://github.com/shorvath/MammalianMethylationConsortium/blob/main/LICENSE
omniager_pasta_gene,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_pedbe_coef,McEwen LM et al.,https://doi.org/10.1073/pnas.1820843116,"McEwen LM, O'Donnell KJ, McGill MG, et al. The PedBE clock accurately estimates DNA methylation age in pediatric buccal cells. Proceedings of the National Academy of Sciences of the United States of America. 2020;117(38):23329每23335. https://doi.org/10.1073/pnas.1820843116",Published under the PNAS license,https://www.pnas.org/doi/10.1073/pnas.1820843116
omniager_phenoage_coef,Levine ME et al.,https://doi.org/10.18632/aging.101414,Levine ME et al. DOI: 10.18632/aging.101414. https://doi.org/10.18632/aging.101414,CC BY 3.0,https://www.aging-us.com/article/101414/text
omniager_pipek_elasticnet_coef,Pipek et al.,https://doi.org/10.1007/s10910-022-01381-4,"Pipek OA, Csabai I. A revised multi-tissue, multi-platform epigenetic clock model for methylation array data. Journal of Mathematical Chemistry. 2023;61(2):376每388. https://doi.org/10.1007/s10910-022-01381-4",CC BY 4.0,https://doi.org/10.1007/s10910-022-01381-4
omniager_pipek_filteredh_coef,Pipek et al.,https://doi.org/10.1007/s10910-022-01381-4,"Pipek OA, Csabai I. A revised multi-tissue, multi-platform epigenetic clock model for methylation array data. Journal of Mathematical Chemistry. 2023;61(2):376每388. https://doi.org/10.1007/s10910-022-01381-4",CC BY 4.0,https://doi.org/10.1007/s10910-022-01381-4
omniager_pipek_retrainedh_coef,Pipek et al.,https://doi.org/10.1007/s10910-022-01381-4,"Pipek OA, Csabai I. A revised multi-tissue, multi-platform epigenetic clock model for methylation array data. Journal of Mathematical Chemistry. 2023;61(2):376每388. https://doi.org/10.1007/s10910-022-01381-4",CC BY 4.0,https://doi.org/10.1007/s10910-022-01381-4
omniager_replitali_coef,Endicott JL et al.,https://github.com/aet21/EpiMitClocks,"Endicott JL, Nolte PA, Shen H, et al. Cell division drives DNA methylation loss in late-replicating domains in primary human cells. Nature Communications. 2022;13(1):6659. https://doi.org/10.1038/s41467-022-34268-8",GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_retroage_coef,Ndhlovu LC et al.,https://doi.org/10.1111/acel.14288,"Ndhlovu LC, Bendall ML, Dwaraka V, et al. Retro-age: A unique epigenetic biomarker of aging captured by DNA methylation states of retroelements. Aging Cell. 2024;23(10):e14288. https://doi.org/10.1111/acel.14288",CC BY 4.0,https://doi.org/10.1111/acel.14288
omniager_scimmuaging_model,Li W et al.,https://github.com/CiiM-Bioinformatics-group/scImmuAging,"Li, W., et al. Single-cell immune aging clocks reveal inter-individual heterogeneity during infection and vaccination. Nat Aging (2025). https://doi.org/10.1038/s43587-025-00819-z",Apache-2.0,https://github.com/CiiM-Bioinformatics-group/scImmuAging/blob/main/LICENSE
omniager_stemtoc_cpg,Zhu T et al.,https://github.com/aet21/EpiMitClocks,"Zhu T, Tong H, Du Z, et al. An improved epigenetic counter to track mitotic age in normal and precancerous tissues. Nature Communications. 2024;15:4211. https://doi.org/10.1038/s41467-024-48649-8",GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_stemtocvitro_cpg,Zhu T et al.,https://github.com/aet21/EpiMitClocks,"Zhu T, Tong H, Du Z, et al. An improved epigenetic counter to track mitotic age in normal and precancerous tissues. Nature Communications. 2024;15:4211. https://doi.org/10.1038/s41467-024-48649-8",GPL-2.0,https://github.com/aet21/EpiMitClocks/blob/master/DESCRIPTION
omniager_stoch_clocks,Tong H et al.,https://doi.org/10.1038/s43587-024-00600-8,"Tong H, Dwaraka VB, Chen Q, et al. Quantifying the stochastic component of epigenetic aging. Nature Aging. 2024;4(6):886每901. https://doi.org/10.1038/s43587-024-00600-8",CC BY 4.0,https://doi.org/10.1038/s43587-024-00600-8
omniager_vidalbralo_coef,Vidal-Bralo L et al.,https://doi.org/10.3389/fgene.2016.00126,"Vidal-Bralo L, Lopez-Golan Y, Gonzalez A. Simplified assay for epigenetic age estimation in whole blood of adults. Frontiers in Genetics. 2016;7:126. https://doi.org/10.3389/fgene.2016.00126",CC BY 4.0,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2016.00126/full
omniager_weidner_coef,Weidner et al,https://doi.org/10.1186/gb-2014-15-2-r24,"Weidner CI, Lin Q, Koch CM, et al. Aging of blood can be tracked by DNA methylation changes at just three CpG sites. Genome Biology. 2014;15(2):R24. https://doi.org/10.1186/gb-2014-15-2-r24",CC BY 2.0,https://doi.org/10.1186/gb-2014-15-2-r24
omniager_wu_clock_coef,Wu et al.,https://doi.org/10.18632/aging.102399,"Wu X, Chen W, Lin F, et al. DNA methylation profile is a quantitative measure of biological aging in children. Aging. 2019;11(22):10031每10051. https://doi.org/10.18632/aging.102399",CC BY 3.0,https://www.aging-us.com/article/102399/text
omniager_zhang_clock_coef,Zhang Q et al.,https://github.com/qzhang314/DNAm-based-age-predictor,"Zhang Q, Vallerga CL, Walker RM, et al. Improved precision of epigenetic clock estimates across tissues and its implication for biological ageing. Genome Medicine. 2019;11(1):54. https://doi.org/10.1186/s13073-019-0667-1",CC BY 4.0,https://github.com/qzhang314/DNAm-based-age-predictor
omniager_zhang10_coef,Zhang Y et al.,https://github.com/bio-learn/biolearn/tree/master/biolearn/data,"Zhang Y, Wilson R, Heiss J, et al. DNA methylation signatures in peripheral blood strongly predict all-cause mortality. Nature Communications. 2017;8:14617. https://doi.org/10.1038/ncomms14617",BSD-3-Clause,https://github.com/bio-learn/biolearn/blob/master/LICENSE
PCClocks_data,Higgins-Chen AT et al.,https://zenodo.org/records/17162604,"Higgins-Chen AT, Thrush KL, Wang Y, et al. A computational solution for bolstering reliability of epigenetic clocks: implications for clinical trials and longitudinal tracking. Nature Aging. 2022;2(7):644每661. https://doi.org/10.1038/s43587-022-00248-2",CC BY-NC-ND 4.0,https://zenodo.org/records/17162604
SystemsAge_data,Sehgal R et al.,https://zenodo.org/records/17162604,"Sehgal R, Markov Y, Qin C, et al. Systems Age: a single blood methylation test to quantify aging heterogeneity across 11 physiological systems. Nature Aging. 2025;5(9):1880每1896. https://doi.org/10.1038/s43587-025-00958-3",CC BY-NC-ND 4.0,https://zenodo.org/records/17162604
